Calculating mean of R...
Mean: 4
Starting Matrix Factorization into 20 principal components...
Step 0 / 5000 (4): e = 7546693
Step 1 / 5000 (28): e = 403385
Step 2 / 5000 (23): e = 191604
Step 3 / 5000 (23): e = 127806
Step 4 / 5000 (22): e = 98583
Step 5 / 5000 (23): e = 81420
Step 6 / 5000 (23): e = 69608
Step 7 / 5000 (23): e = 60643
Step 8 / 5000 (23): e = 53432
Step 9 / 5000 (23): e = 47431
Step 10 / 5000 (23): e = 42335
Step 11 / 5000 (23): e = 37956
Step 12 / 5000 (23): e = 34163
Step 13 / 5000 (23): e = 30862
Step 14 / 5000 (23): e = 27979
Step 15 / 5000 (25): e = 25455
Step 16 / 5000 (23): e = 23238
Step 17 / 5000 (27): e = 21288
Step 18 / 5000 (24): e = 19570
Step 19 / 5000 (25): e = 18052
Step 20 / 5000 (25): e = 16708
Step 21 / 5000 (26): e = 15516
Step 22 / 5000 (23): e = 14457
Step 23 / 5000 (23): e = 13512
Step 24 / 5000 (23): e = 12668
Step 25 / 5000 (24): e = 11911
Step 26 / 5000 (23): e = 11231
Step 27 / 5000 (24): e = 10617
Step 28 / 5000 (24): e = 10063
Step 29 / 5000 (23): e = 9560
Step 30 / 5000 (24): e = 9102
Step 31 / 5000 (24): e = 8685
Step 32 / 5000 (24): e = 8303
Step 33 / 5000 (26): e = 7952
Step 34 / 5000 (24): e = 7630
Step 35 / 5000 (24): e = 7332
Step 36 / 5000 (24): e = 7057
Step 37 / 5000 (25): e = 6802
Step 38 / 5000 (23): e = 6566
Step 39 / 5000 (23): e = 6345
Step 40 / 5000 (23): e = 6140
Step 41 / 5000 (25): e = 5948
Step 42 / 5000 (23): e = 5769
Step 43 / 5000 (23): e = 5600
Step 44 / 5000 (23): e = 5443
Step 45 / 5000 (23): e = 5294
Step 46 / 5000 (23): e = 5155
Step 47 / 5000 (23): e = 5023
Step 48 / 5000 (24): e = 4899
Step 49 / 5000 (24): e = 4782
Step 50 / 5000 (23): e = 4671
Step 51 / 5000 (23): e = 4566
Step 52 / 5000 (23): e = 4467
Step 53 / 5000 (23): e = 4372
Step 54 / 5000 (24): e = 4283
Step 55 / 5000 (24): e = 4198
Step 56 / 5000 (24): e = 4117
Step 57 / 5000 (24): e = 4040
Step 58 / 5000 (24): e = 3967
Step 59 / 5000 (23): e = 3898
Step 60 / 5000 (23): e = 3831
Step 61 / 5000 (26): e = 3768
Step 62 / 5000 (23): e = 3707
Step 63 / 5000 (24): e = 3649
Step 64 / 5000 (25): e = 3594
Step 65 / 5000 (24): e = 3541
Step 66 / 5000 (23): e = 3491
Step 67 / 5000 (24): e = 3442
Step 68 / 5000 (23): e = 3396
Step 69 / 5000 (23): e = 3351
Step 70 / 5000 (24): e = 3308
Step 71 / 5000 (24): e = 3267
Step 72 / 5000 (24): e = 3228
Step 73 / 5000 (23): e = 3190
Step 74 / 5000 (23): e = 3154
Step 75 / 5000 (23): e = 3119
Step 76 / 5000 (23): e = 3085
Step 77 / 5000 (24): e = 3053
Step 78 / 5000 (24): e = 3022
Step 79 / 5000 (23): e = 2991
Step 80 / 5000 (25): e = 2963
Step 81 / 5000 (26): e = 2935
Step 82 / 5000 (22): e = 2908
Step 83 / 5000 (22): e = 2882
Step 84 / 5000 (23): e = 2857
Step 85 / 5000 (23): e = 2832
Step 86 / 5000 (24): e = 2809
Step 87 / 5000 (23): e = 2786
Step 88 / 5000 (23): e = 2765
Step 89 / 5000 (23): e = 2743
Step 90 / 5000 (23): e = 2723
Step 91 / 5000 (23): e = 2703
Step 92 / 5000 (23): e = 2684
Step 93 / 5000 (23): e = 2665
Step 94 / 5000 (23): e = 2647
Step 95 / 5000 (23): e = 2630
Step 96 / 5000 (25): e = 2613
Step 97 / 5000 (24): e = 2597
Step 98 / 5000 (23): e = 2581
Step 99 / 5000 (23): e = 2566
Step 100 / 5000 (23): e = 2551
Step 101 / 5000 (26): e = 2536
Step 102 / 5000 (23): e = 2522
Step 103 / 5000 (23): e = 2508
Step 104 / 5000 (23): e = 2495
Step 105 / 5000 (23): e = 2482
Step 106 / 5000 (23): e = 2470
Step 107 / 5000 (23): e = 2457
Step 108 / 5000 (23): e = 2446
Step 109 / 5000 (23): e = 2434
Step 110 / 5000 (23): e = 2423
Step 111 / 5000 (23): e = 2412
Step 112 / 5000 (24): e = 2401
Step 113 / 5000 (24): e = 2391
Step 114 / 5000 (23): e = 2381
Step 115 / 5000 (23): e = 2371
Step 116 / 5000 (23): e = 2361
Step 117 / 5000 (23): e = 2352
Step 118 / 5000 (24): e = 2343
Step 119 / 5000 (23): e = 2334
Step 120 / 5000 (23): e = 2325
Step 121 / 5000 (25): e = 2317
Step 122 / 5000 (23): e = 2309
Step 123 / 5000 (23): e = 2301
Step 124 / 5000 (24): e = 2293
Step 125 / 5000 (23): e = 2285
Step 126 / 5000 (24): e = 2278
Step 127 / 5000 (23): e = 2270
Step 128 / 5000 (24): e = 2263
Step 129 / 5000 (24): e = 2256
Step 130 / 5000 (23): e = 2249
Step 131 / 5000 (23): e = 2243
Step 132 / 5000 (23): e = 2236
Step 133 / 5000 (23): e = 2230
Step 134 / 5000 (23): e = 2223
Step 135 / 5000 (23): e = 2217
Step 136 / 5000 (23): e = 2211
Step 137 / 5000 (23): e = 2205
Step 138 / 5000 (23): e = 2199
Step 139 / 5000 (23): e = 2194
Step 140 / 5000 (23): e = 2188
Step 141 / 5000 (25): e = 2183
Step 142 / 5000 (23): e = 2177
Step 143 / 5000 (23): e = 2172
Step 144 / 5000 (24): e = 2167
Step 145 / 5000 (25): e = 2162
Step 146 / 5000 (24): e = 2157
Step 147 / 5000 (23): e = 2152
Step 148 / 5000 (23): e = 2147
Step 149 / 5000 (23): e = 2142
Step 150 / 5000 (23): e = 2138
Step 151 / 5000 (23): e = 2133
Step 152 / 5000 (23): e = 2128
Step 153 / 5000 (23): e = 2124
Step 154 / 5000 (23): e = 2120
Step 155 / 5000 (23): e = 2115
Step 156 / 5000 (23): e = 2111
Step 157 / 5000 (23): e = 2107
Step 158 / 5000 (23): e = 2103
Step 159 / 5000 (24): e = 2099
Step 160 / 5000 (24): e = 2095
Step 161 / 5000 (28): e = 2091
Step 162 / 5000 (23): e = 2087
Step 163 / 5000 (23): e = 2083
Step 164 / 5000 (24): e = 2079
Step 165 / 5000 (27): e = 2075
Step 166 / 5000 (23): e = 2072
Step 167 / 5000 (22): e = 2068
Step 168 / 5000 (22): e = 2064
Step 169 / 5000 (23): e = 2061
Step 170 / 5000 (23): e = 2057
Step 171 / 5000 (23): e = 2054
Step 172 / 5000 (23): e = 2050
Step 173 / 5000 (23): e = 2047
Step 174 / 5000 (23): e = 2043
Step 175 / 5000 (24): e = 2040
Step 176 / 5000 (24): e = 2037
Step 177 / 5000 (25): e = 2034
Step 178 / 5000 (23): e = 2030
Step 179 / 5000 (23): e = 2027
Step 180 / 5000 (23): e = 2024
Step 181 / 5000 (35): e = 2021
Step 182 / 5000 (29): e = 2018
Step 183 / 5000 (29): e = 2015
Step 184 / 5000 (29): e = 2012
Step 185 / 5000 (30): e = 2008
Step 186 / 5000 (28): e = 2005
Step 187 / 5000 (24): e = 2003
Step 188 / 5000 (27): e = 2000
Step 189 / 5000 (26): e = 1997
Step 190 / 5000 (27): e = 1994
Step 191 / 5000 (29): e = 1991
Step 192 / 5000 (26): e = 1988
Step 193 / 5000 (26): e = 1985
Step 194 / 5000 (27): e = 1982
Step 195 / 5000 (30): e = 1980
Step 196 / 5000 (26): e = 1977
Step 197 / 5000 (27): e = 1974
Step 198 / 5000 (26): e = 1972
Step 199 / 5000 (25): e = 1969
Step 200 / 5000 (25): e = 1966
Step 201 / 5000 (27): e = 1964
Step 202 / 5000 (23): e = 1961
Step 203 / 5000 (24): e = 1958
Step 204 / 5000 (26): e = 1956
Step 205 / 5000 (25): e = 1953
Step 206 / 5000 (24): e = 1951
Step 207 / 5000 (23): e = 1948
Step 208 / 5000 (24): e = 1946
Step 209 / 5000 (24): e = 1943
Step 210 / 5000 (26): e = 1941
Step 211 / 5000 (25): e = 1938
Step 212 / 5000 (26): e = 1936
Step 213 / 5000 (25): e = 1934
Step 214 / 5000 (26): e = 1931
Step 215 / 5000 (26): e = 1929
Step 216 / 5000 (27): e = 1926
Step 217 / 5000 (27): e = 1924
Step 218 / 5000 (26): e = 1922
Step 219 / 5000 (34): e = 1920
Step 220 / 5000 (26): e = 1917
Step 221 / 5000 (26): e = 1915
Step 222 / 5000 (24): e = 1913
Step 223 / 5000 (24): e = 1911
Step 224 / 5000 (24): e = 1908
Step 225 / 5000 (24): e = 1906
Step 226 / 5000 (23): e = 1904
Step 227 / 5000 (24): e = 1902
Step 228 / 5000 (24): e = 1900
Step 229 / 5000 (25): e = 1898
Step 230 / 5000 (24): e = 1896
Step 231 / 5000 (26): e = 1893
Step 232 / 5000 (26): e = 1891
Step 233 / 5000 (24): e = 1889
Step 234 / 5000 (24): e = 1887
Step 235 / 5000 (24): e = 1885
Step 236 / 5000 (24): e = 1883
Step 237 / 5000 (24): e = 1881
Step 238 / 5000 (24): e = 1879
Step 239 / 5000 (24): e = 1877
Step 240 / 5000 (25): e = 1875
Step 241 / 5000 (27): e = 1873
Step 242 / 5000 (23): e = 1872
Step 243 / 5000 (23): e = 1870
Step 244 / 5000 (23): e = 1868
Step 245 / 5000 (24): e = 1866
Step 246 / 5000 (25): e = 1864
Step 247 / 5000 (24): e = 1862
Step 248 / 5000 (24): e = 1860
Step 249 / 5000 (24): e = 1859
Step 250 / 5000 (23): e = 1857
Step 251 / 5000 (23): e = 1855
Step 252 / 5000 (24): e = 1853
Step 253 / 5000 (23): e = 1851
Step 254 / 5000 (24): e = 1850
Step 255 / 5000 (24): e = 1848
Step 256 / 5000 (24): e = 1846
Step 257 / 5000 (24): e = 1844
Step 258 / 5000 (24): e = 1843
Step 259 / 5000 (25): e = 1841
Step 260 / 5000 (25): e = 1839
Step 261 / 5000 (26): e = 1838
Step 262 / 5000 (24): e = 1836
Step 263 / 5000 (23): e = 1834
Step 264 / 5000 (23): e = 1833
Step 265 / 5000 (23): e = 1831
